geo,indicator,date,month,value,unit,sub_indicator_short
DE,persons_aged_25_-_64_with_at_least_upper_secondary_educational_attainment_level_by_sex,2018,,86.6,PC,
DE,persons_aged_25_-_64_with_at_least_upper_secondary_educational_attainment_level_by_sex,2019,,86.6,PC,
DE,persons_aged_25_-_64_with_at_least_upper_secondary_educational_attainment_level_by_sex,2020,,85.7,PC,
DE,persons_aged_25_-_64_with_at_least_upper_secondary_educational_attainment_level_by_sex,2021,,84.0,PC,
DE,persons_aged_25_-_64_with_at_least_upper_secondary_educational_attainment_level_by_sex,2022,,83.5,PC,
DE,persons_aged_25_-_64_with_at_least_upper_secondary_educational_attainment_level_by_sex,2023,,83.2,PC,
DE,persons_aged_25_-_64_with_at_least_upper_secondary_educational_attainment_level_by_sex,2024,,84.1,PC,
ES,average_household_size,2016,,2.5,AVG,
ES,average_household_size,2017,,2.5,AVG,
ES,average_household_size,2018,,2.5,AVG,
ES,average_household_size,2019,,2.5,AVG,
ES,average_household_size,2020,,2.5,AVG,
ES,average_household_size,2021,,2.5,AVG,
ES,average_household_size,2022,,2.5,AVG,
ES,average_household_size,2023,,2.5,AVG,
ES,average_household_size,2024,,2.5,AVG,
ES,average_household_size,2025,,2.5,AVG,
FR,average_household_size,2016,,2.2,AVG,
FR,average_household_size,2017,,2.2,AVG,
FR,average_household_size,2018,,2.2,AVG,
FR,average_household_size,2019,,2.1,AVG,
FR,average_household_size,2020,,2.2,AVG,
FR,average_household_size,2021,,2.2,AVG,
FR,average_household_size,2022,,2.2,AVG,
FR,average_household_size,2023,,2.2,AVG,
FR,average_household_size,2024,,2.1,AVG,
DE,average_household_size,2016,,2.0,AVG,
DE,average_household_size,2017,,2.0,AVG,
DE,average_household_size,2018,,2.0,AVG,
DE,average_household_size,2019,,2.0,AVG,
DE,average_household_size,2020,,2.0,AVG,
DE,average_household_size,2021,,2.0,AVG,
DE,average_household_size,2022,,2.0,AVG,
DE,average_household_size,2023,,2.0,AVG,
DE,average_household_size,2024,,2.0,AVG,
DE,average_household_size,2025,,2.0,AVG,
ES,short_term_population_projections_2024_-_2050,2026,,49446394.0,people,Population on 1 January - total
ES,short_term_population_projections_2024_-_2050,2027,,49747937.0,people,Population on 1 January - total
ES,short_term_population_projections_2024_-_2050,2028,,49982707.0,people,Population on 1 January - total
ES,short_term_population_projections_2024_-_2050,2029,,50152985.0,people,Population on 1 January - total
ES,short_term_population_projections_2024_-_2050,2030,,50316529.0,people,Population on 1 January - total
ES,short_term_population_projections_2024_-_2050,2031,,50475401.0,people,Population on 1 January - total
ES,short_term_population_projections_2024_-_2050,2032,,50631339.0,people,Population on 1 January - total
ES,short_term_population_projections_2024_-_2050,2033,,50786477.0,people,Population on 1 January - total
ES,short_term_population_projections_2024_-_2050,2034,,50938742.0,people,Population on 1 January - total
ES,short_term_population_projections_2024_-_2050,2035,,51088143.0,people,Population on 1 January - total
FR,short_term_population_projections_2024_-_2050,2026,,68808466.0,people,Population on 1 January - total
FR,short_term_population_projections_2024_-_2050,2027,,68970980.0,people,Population on 1 January - total
FR,short_term_population_projections_2024_-_2050,2028,,69123876.0,people,Population on 1 January - total
FR,short_term_population_projections_2024_-_2050,2029,,69269266.0,people,Population on 1 January - total
FR,short_term_population_projections_2024_-_2050,2030,,69405422.0,people,Population on 1 January - total
FR,short_term_population_projections_2024_-_2050,2031,,69536254.0,people,Population on 1 January - total
FR,short_term_population_projections_2024_-_2050,2032,,69662804.0,people,Population on 1 January - total
FR,short_term_population_projections_2024_-_2050,2033,,69783392.0,people,Population on 1 January - total
FR,short_term_population_projections_2024_-_2050,2034,,69899718.0,people,Population on 1 January - total
FR,short_term_population_projections_2024_-_2050,2035,,70011863.0,people,Population on 1 January - total
DE,short_term_population_projections_2024_-_2050,2026,,83561619.0,people,Population on 1 January - total
DE,short_term_population_projections_2024_-_2050,2027,,83614411.0,people,Population on 1 January - total
DE,short_term_population_projections_2024_-_2050,2028,,83653182.0,people,Population on 1 January - total
DE,short_term_population_projections_2024_-_2050,2029,,83682304.0,people,Population on 1 January - total
DE,short_term_population_projections_2024_-_2050,2030,,83705830.0,people,Population on 1 January - total
DE,short_term_population_projections_2024_-_2050,2031,,83723168.0,people,Population on 1 January - total
DE,short_term_population_projections_2024_-_2050,2032,,83736067.0,people,Population on 1 January - total
DE,short_term_population_projections_2024_-_2050,2033,,83745430.0,people,Population on 1 January - total
DE,short_term_population_projections_2024_-_2050,2034,,83752345.0,people,Population on 1 January - total
DE,short_term_population_projections_2024_-_2050,2035,,83755430.0,people,Population on 1 January - total
